sale.date,borough,borough_name,neighborhood,building.class.category,zip.code,sale.price,residential.units,commercial.units,total.units,land.square.feet,gross.square.feet,year.built,sale.year,age
2018-08-31,2,Bronx,CASTLE HILL/UNIONPORT,01 ONE FAMILY DWELLINGS,10473,492525,1,0,1,2250,1540,1960,2018,58
2018-08-31,2,Bronx,SOUNDVIEW,01 ONE FAMILY DWELLINGS,10473,105000,1,0,1,3980,1025,1910,2018,108
2018-08-31,3,Brooklyn,BOROUGH PARK,01 ONE FAMILY DWELLINGS,11204,1765000,1,0,1,2805,1864,1930,2018,88
2018-08-31,3,Brooklyn,MILL BASIN,01 ONE FAMILY DWELLINGS,11234,950000,1,0,1,5200,1852,1960,2018,58
2018-08-31,4,Queens,FLORAL PARK,01 ONE FAMILY DWELLINGS,11004,566000,1,0,1,4000,832,1950,2018,68
2018-08-31,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11365,839000,1,0,1,2600,1438,1950,2018,68
2018-08-31,4,Queens,FRESH MEADOWS,01 ONE FAMILY DWELLINGS,11365,985000,1,0,1,5900,1668,1945,2018,73
2018-08-31,4,Queens,HOLLIS,01 ONE FAMILY DWELLINGS,11428,499500,1,0,1,2400,1152,1925,2018,93
2018-08-31,4,Queens,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,11372,1425000,1,0,1,3400,2050,1925,2018,93
2018-08-31,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,560000,1,0,1,3217,1232,1930,2018,88
2018-08-31,4,Queens,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,11378,755000,1,0,1,1800,1192,1945,2018,73
2018-08-31,4,Queens,OZONE PARK,01 ONE FAMILY DWELLINGS,11416,499900,1,0,1,2500,1224,1915,2018,103
2018-08-31,4,Queens,OZONE PARK,01 ONE FAMILY DWELLINGS,11417,560000,1,0,1,2800,1272,1925,2018,93
2018-08-31,4,Queens,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,11434,475000,1,0,1,3780,1050,1955,2018,63
2018-08-31,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11412,526875,1,0,1,5940,1426,1945,2018,73
2018-08-31,4,Queens,WHITESTONE,01 ONE FAMILY DWELLINGS,11357,773000,1,0,1,3770,1056,1950,2018,68
2018-08-31,4,Queens,WOODHAVEN,01 ONE FAMILY DWELLINGS,11421,665000,1,0,1,1710,1364,1920,2018,98
2018-08-30,2,Bronx,BRONXDALE,01 ONE FAMILY DWELLINGS,10467,1450000,1,1,2,6675,2996,1955,2018,63
2018-08-30,2,Bronx,RIVERDALE,01 ONE FAMILY DWELLINGS,10463,885000,1,0,1,5000,2350,1925,2018,93
2018-08-30,2,Bronx,THROGS NECK,01 ONE FAMILY DWELLINGS,10465,420000,1,0,1,3125,2062,1950,2018,68
2018-08-30,3,Brooklyn,BERGEN BEACH,01 ONE FAMILY DWELLINGS,11234,785000,1,0,1,2806,1684,2003,2018,15
2018-08-30,3,Brooklyn,BOROUGH PARK,01 ONE FAMILY DWELLINGS,11204,900000,1,1,2,960,1440,1945,2018,73
2018-08-30,3,Brooklyn,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS,11225,1250000,1,0,1,1650,2240,1915,2018,103
2018-08-30,3,Brooklyn,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,11228,1625000,1,0,1,4000,1726,1930,2018,88
2018-08-30,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11210,830000,1,0,1,2500,1834,1935,2018,83
2018-08-30,3,Brooklyn,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,11203,600000,1,0,1,2850,760,1940,2018,78
2018-08-30,3,Brooklyn,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,11203,526680,1,0,1,2475,1676,1920,2018,98
2018-08-30,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11230,1350000,1,0,1,2500,1900,1930,2018,88
2018-08-30,3,Brooklyn,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,11230,1450000,1,0,1,3333,1616,1920,2018,98
2018-08-30,3,Brooklyn,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,11234,680000,1,0,1,2400,2332,1970,2018,48
2018-08-30,4,Queens,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,11432,995000,1,0,1,4720,1780,1940,2018,78
2018-08-30,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11411,450000,1,0,1,3960,1089,1945,2018,73
2018-08-30,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,385000,1,0,1,2000,1410,1935,2018,83
2018-08-30,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,570000,1,0,1,4000,4961,1935,2018,83
2018-08-30,4,Queens,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,11379,850000,1,0,1,2400,1732,1945,2018,73
2018-08-30,4,Queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,11419,430000,1,0,1,2600,1280,1920,2018,98
2018-08-30,4,Queens,ROSEDALE,01 ONE FAMILY DWELLINGS,11413,412000,1,0,1,3240,1442,1925,2018,93
2018-08-30,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11436,448000,1,0,1,2000,896,1920,2018,98
2018-08-30,4,Queens,SOUTH OZONE PARK,01 ONE FAMILY DWELLINGS,11420,661000,1,0,1,4000,1304,1950,2018,68
2018-08-30,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11434,400000,1,0,1,3810,1552,1925,2018,93
2018-08-30,4,Queens,WHITESTONE,01 ONE FAMILY DWELLINGS,11357,1500000,1,0,1,4334,2704,2002,2018,16
2018-08-29,2,Bronx,CITY ISLAND,01 ONE FAMILY DWELLINGS,10464,575000,1,0,1,2401,1836,1965,2018,53
2018-08-29,2,Bronx,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS,10461,445000,1,0,1,2375,1134,1940,2018,78
2018-08-29,3,Brooklyn,BAY RIDGE,01 ONE FAMILY DWELLINGS,11209,1980000,1,0,1,3817,2577,1925,2018,93
2018-08-29,3,Brooklyn,CANARSIE,01 ONE FAMILY DWELLINGS,11236,530000,1,0,1,2743,800,1970,2018,48
2018-08-29,3,Brooklyn,COBBLE HILL,01 ONE FAMILY DWELLINGS,11201,3000000,1,0,1,1376,2205,1899,2018,119
2018-08-29,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11203,665000,1,0,1,2250,1548,1920,2018,98
2018-08-29,3,Brooklyn,MADISON,01 ONE FAMILY DWELLINGS,11229,985000,1,0,1,2450,1488,1920,2018,98
2018-08-29,3,Brooklyn,MARINE PARK,01 ONE FAMILY DWELLINGS,11234,705000,1,0,1,2848,1368,1925,2018,93
2018-08-29,3,Brooklyn,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,11230,1175000,1,0,1,2656,1344,1915,2018,103
2018-08-29,4,Queens,ASTORIA,01 ONE FAMILY DWELLINGS,11106,875000,1,0,1,1542,1208,1901,2018,117
2018-08-29,4,Queens,BEECHHURST,01 ONE FAMILY DWELLINGS,11357,755000,1,0,1,1600,1024,1945,2018,73
2018-08-29,4,Queens,BELLEROSE,01 ONE FAMILY DWELLINGS,11426,630000,1,0,1,3000,1404,1925,2018,93
2018-08-29,4,Queens,BRIARWOOD,01 ONE FAMILY DWELLINGS,11435,515000,1,0,1,3400,1131,1940,2018,78
2018-08-29,4,Queens,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS,11411,472853,1,0,1,4000,1038,1950,2018,68
2018-08-29,4,Queens,DOUGLASTON,01 ONE FAMILY DWELLINGS,11363,908000,1,0,1,4500,1906,1965,2018,53
2018-08-29,4,Queens,FAR ROCKAWAY,01 ONE FAMILY DWELLINGS,11691,440000,1,0,1,3768,1278,1930,2018,88
2018-08-29,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11355,800000,1,0,1,2000,1520,1925,2018,93
2018-08-29,4,Queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,11365,999000,1,0,1,4750,1680,1950,2018,68
2018-08-29,4,Queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,11366,750000,1,0,1,1710,1296,1950,2018,68
2018-08-29,4,Queens,FOREST HILLS,01 ONE FAMILY DWELLINGS,11375,1150000,1,0,1,3800,1750,1945,2018,73
2018-08-29,4,Queens,FOREST HILLS,01 ONE FAMILY DWELLINGS,11375,1760000,1,0,1,3942,1580,1925,2018,93
2018-08-29,4,Queens,FRESH MEADOWS,01 ONE FAMILY DWELLINGS,11365,815000,1,0,1,1700,1600,1950,2018,68
2018-08-29,4,Queens,GLENDALE,01 ONE FAMILY DWELLINGS,11385,780000,1,0,1,1995,1472,1935,2018,83
2018-08-29,4,Queens,HOWARD BEACH,01 ONE FAMILY DWELLINGS,11414,415000,1,0,1,1920,912,1930,2018,88
2018-08-29,4,Queens,OZONE PARK,01 ONE FAMILY DWELLINGS,11417,499999,1,0,1,2812,1178,1925,2018,93
2018-08-29,4,Queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,11418,600000,1,0,1,2500,1344,1915,2018,103
2018-08-29,4,Queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,11419,700000,1,0,1,3230,1454,1920,2018,98
2018-08-29,4,Queens,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,11434,515000,1,0,1,6000,768,1935,2018,83
2018-08-29,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11412,450000,1,0,1,2200,1137,1925,2018,93
2018-08-29,4,Queens,WOODSIDE,01 ONE FAMILY DWELLINGS,11377,850000,1,0,1,2500,1360,1935,2018,83
2018-08-28,2,Bronx,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS,10467,495000,1,0,1,2836,2394,1925,2018,93
2018-08-28,3,Brooklyn,CANARSIE,01 ONE FAMILY DWELLINGS,11236,565000,1,0,1,2200,1350,1925,2018,93
2018-08-28,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11210,757000,1,0,1,1875,1344,1925,2018,93
2018-08-28,3,Brooklyn,MADISON,01 ONE FAMILY DWELLINGS,11229,710000,1,0,1,1600,1680,1935,2018,83
2018-08-28,3,Brooklyn,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,11235,1850000,1,0,1,6000,2472,1930,2018,88
2018-08-28,3,Brooklyn,MARINE PARK,01 ONE FAMILY DWELLINGS,11234,667750,1,0,1,2678,1196,1920,2018,98
2018-08-28,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11230,830000,1,0,1,3000,1440,1910,2018,108
2018-08-28,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,2450000,1,0,1,4500,2278,1920,2018,98
2018-08-28,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,1290000,1,0,1,3500,2216,1915,2018,103
2018-08-28,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,1310000,1,0,1,2726,1539,1920,2018,98
2018-08-28,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,875000,1,0,1,1900,1148,1925,2018,93
2018-08-28,3,Brooklyn,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,11223,4500500,1,0,1,4000,2311,1920,2018,98
2018-08-28,3,Brooklyn,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,11237,1600000,1,1,2,1890,3480,1925,2018,93
2018-08-28,4,Queens,ASTORIA,01 ONE FAMILY DWELLINGS,11105,1250000,1,0,1,2000,1376,1925,2018,93
2018-08-28,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11361,820000,1,0,1,1958,1080,1935,2018,83
2018-08-28,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11361,998000,1,0,1,4000,1368,1920,2018,98
2018-08-28,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11361,850000,1,0,1,2625,1260,1955,2018,63
2018-08-28,4,Queens,BELLEROSE,01 ONE FAMILY DWELLINGS,11426,425000,1,0,1,4000,975,1945,2018,73
2018-08-28,4,Queens,COLLEGE POINT,01 ONE FAMILY DWELLINGS,11356,1160000,1,0,1,8000,2700,1930,2018,88
2018-08-28,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11358,918000,1,0,1,2900,2000,1950,2018,68
2018-08-28,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11358,1150000,1,0,1,6680,1321,1930,2018,88
2018-08-28,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11358,1278000,1,0,1,4000,1672,1940,2018,78
2018-08-28,4,Queens,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,11432,1400000,1,0,1,6100,2840,1940,2018,78
2018-08-28,4,Queens,LITTLE NECK,01 ONE FAMILY DWELLINGS,11362,970000,1,0,1,4140,1054,1945,2018,73
2018-08-28,4,Queens,NEPONSIT,01 ONE FAMILY DWELLINGS,11694,205000,1,0,1,6000,1377,1930,2018,88
2018-08-28,4,Queens,OZONE PARK,01 ONE FAMILY DWELLINGS,11417,535000,1,0,1,2000,1280,1940,2018,78
2018-08-28,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11429,478000,1,0,1,2200,1476,1940,2018,78
2018-08-28,4,Queens,REGO PARK,01 ONE FAMILY DWELLINGS,11374,800000,1,0,1,2200,1655,1955,2018,63
2018-08-28,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11434,373065,1,0,1,2200,902,1935,2018,83
2018-08-28,4,Queens,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,11435,517000,1,0,1,2400,1248,1915,2018,103
2018-08-28,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11434,750000,1,0,1,4500,2673,1940,2018,78
2018-08-27,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS,10466,560000,1,0,1,2875,2202,1930,2018,88
2018-08-27,2,Bronx,CITY ISLAND,01 ONE FAMILY DWELLINGS,10464,325000,1,0,1,2460,672,1925,2018,93
2018-08-27,2,Bronx,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,10462,600000,1,0,1,2500,1620,1920,2018,98
2018-08-27,2,Bronx,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY DWELLINGS,10457,230000,1,0,1,1568,1240,1901,2018,117
2018-08-27,2,Bronx,WOODLAWN,01 ONE FAMILY DWELLINGS,10470,420000,1,0,1,5000,1786,1925,2018,93
2018-08-27,2,Bronx,WOODLAWN,01 ONE FAMILY DWELLINGS,10470,480000,1,0,1,2500,1520,1920,2018,98
2018-08-27,3,Brooklyn,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,11228,919616,1,0,1,1567,1492,1945,2018,73
2018-08-27,3,Brooklyn,MADISON,01 ONE FAMILY DWELLINGS,11229,1530000,1,0,1,3500,2994,1930,2018,88
2018-08-27,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,1230000,1,0,1,3500,2290,1925,2018,93
2018-08-27,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,1730000,1,0,1,4000,1796,1910,2018,108
2018-08-27,3,Brooklyn,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,11229,824000,1,0,1,2000,2084,1940,2018,78
2018-08-27,3,Brooklyn,WILLIAMSBURG-EAST,01 ONE FAMILY DWELLINGS,11211,3075000,1,1,2,2000,3600,1920,2018,98
2018-08-27,3,Brooklyn,WYCKOFF HEIGHTS,01 ONE FAMILY DWELLINGS,11237,1300000,1,0,1,2000,1500,1910,2018,108
2018-08-27,4,Queens,BELLE HARBOR,01 ONE FAMILY DWELLINGS,11694,800000,1,0,1,3000,1490,1930,2018,88
2018-08-27,4,Queens,ELMHURST,01 ONE FAMILY DWELLINGS,11373,844530,1,0,1,2000,1304,1920,2018,98
2018-08-27,4,Queens,FLORAL PARK,01 ONE FAMILY DWELLINGS,11004,740000,1,0,1,4000,1521,1950,2018,68
2018-08-27,4,Queens,FLORAL PARK,01 ONE FAMILY DWELLINGS,11001,865000,1,0,1,5000,2100,2002,2018,16
2018-08-27,4,Queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,11367,950000,1,0,1,1820,1680,1950,2018,68
2018-08-27,4,Queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,11365,900000,1,0,1,5000,1530,1950,2018,68
2018-08-27,4,Queens,GLEN OAKS,01 ONE FAMILY DWELLINGS,11040,630000,1,0,1,4280,1074,1950,2018,68
2018-08-27,4,Queens,JAMAICA,01 ONE FAMILY DWELLINGS,11432,891000,1,1,2,2178,1300,1919,2018,99
2018-08-27,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,550000,1,0,1,3242,1266,1930,2018,88
2018-08-27,4,Queens,LITTLE NECK,01 ONE FAMILY DWELLINGS,11363,1120000,1,0,1,6000,1524,1930,2018,88
2018-08-27,4,Queens,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,11379,790000,1,0,1,1800,1152,1950,2018,68
2018-08-27,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11429,394000,1,0,1,4000,1038,1945,2018,73
2018-08-27,4,Queens,ROSEDALE,01 ONE FAMILY DWELLINGS,11422,525000,1,0,1,4000,1712,1955,2018,63
2018-08-27,4,Queens,ROSEDALE,01 ONE FAMILY DWELLINGS,11422,800000,1,0,1,4003,683,1940,2018,78
2018-08-27,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11434,724500,1,0,1,3000,1800,1996,2018,22
2018-08-27,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11434,425000,1,0,1,2628,1448,1935,2018,83
2018-08-27,4,Queens,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS,11413,342500,1,0,1,4000,1332,1935,2018,83
2018-08-24,2,Bronx,COUNTRY CLUB,01 ONE FAMILY DWELLINGS,10465,460000,1,0,1,2500,990,1925,2018,93
2018-08-24,2,Bronx,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,10469,550000,1,0,1,2300,1782,1940,2018,78
2018-08-24,2,Bronx,THROGS NECK,01 ONE FAMILY DWELLINGS,10465,474000,1,0,1,2699,1944,1960,2018,58
2018-08-24,3,Brooklyn,BENSONHURST,01 ONE FAMILY DWELLINGS,11204,880000,1,0,1,2000,1608,1925,2018,93
2018-08-24,3,Brooklyn,EAST NEW YORK,01 ONE FAMILY DWELLINGS,11208,265000,1,0,1,2502,1289,1910,2018,108
2018-08-24,3,Brooklyn,SPRING CREEK,01 ONE FAMILY DWELLINGS,11239,139716,1,0,1,2308,1640,2008,2018,10
2018-08-24,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11360,820000,1,0,1,4320,938,1945,2018,73
2018-08-24,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11361,900000,1,0,1,3747,1956,1960,2018,58
2018-08-24,4,Queens,BAYSIDE,01 ONE FAMILY DWELLINGS,11361,810000,1,0,1,1600,1890,1955,2018,63
2018-08-24,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11365,1528000,1,0,1,4000,1092,1950,2018,68
2018-08-24,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11357,1390000,1,0,1,4000,1976,1945,2018,73
2018-08-24,4,Queens,GLEN OAKS,01 ONE FAMILY DWELLINGS,11004,910000,1,0,1,9300,1256,1975,2018,43
2018-08-24,4,Queens,GLENDALE,01 ONE FAMILY DWELLINGS,11385,675000,1,0,1,2000,1305,1925,2018,93
2018-08-24,4,Queens,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,11370,777000,1,0,1,1980,1080,1945,2018,73
2018-08-24,4,Queens,JACKSON HEIGHTS,01 ONE FAMILY DWELLINGS,11370,820000,1,0,1,2000,1596,1930,2018,88
2018-08-24,4,Queens,JAMAICA ESTATES,01 ONE FAMILY DWELLINGS,11432,1500000,1,0,1,6142,4896,2004,2018,14
2018-08-24,4,Queens,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,11379,715000,1,0,1,1600,960,1940,2018,78
2018-08-24,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11426,775000,1,0,1,8315,1046,1955,2018,63
2018-08-24,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11429,765600,1,0,1,3000,1500,1930,2018,88
2018-08-24,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11436,360000,1,0,1,2500,1280,1920,2018,98
2018-08-24,4,Queens,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,11435,480000,1,0,1,2002,944,1930,2018,88
2018-08-24,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11412,310000,1,0,1,2500,1360,1940,2018,78
2018-08-24,4,Queens,WHITESTONE,01 ONE FAMILY DWELLINGS,11357,925000,1,0,1,2581,1760,1970,2018,48
2018-08-23,2,Bronx,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS,10462,440900,1,0,1,2500,1906,1920,2018,98
2018-08-23,2,Bronx,PELHAM PARKWAY NORTH,01 ONE FAMILY DWELLINGS,10467,403000,1,0,1,2500,1416,1940,2018,78
2018-08-23,2,Bronx,WESTCHESTER,01 ONE FAMILY DWELLINGS,10461,380250,1,0,1,1800,1690,1955,2018,63
2018-08-23,3,Brooklyn,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS,11213,1425000,1,0,1,2600,2048,1920,2018,98
2018-08-23,3,Brooklyn,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,11226,525000,1,1,2,842,1466,1930,2018,88
2018-08-23,3,Brooklyn,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,11226,525000,1,1,2,851,1466,1930,2018,88
2018-08-23,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11203,1035000,1,0,1,2973,1985,1910,2018,108
2018-08-23,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11210,785000,1,0,1,2500,1530,1925,2018,93
2018-08-23,3,Brooklyn,MADISON,01 ONE FAMILY DWELLINGS,11229,735000,1,0,1,2600,1216,1945,2018,73
2018-08-23,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11230,880000,1,0,1,1250,1564,1915,2018,103
2018-08-23,4,Queens,ARVERNE,01 ONE FAMILY DWELLINGS,11692,329000,1,0,1,2500,1526,1960,2018,58
2018-08-23,4,Queens,BELLEROSE,01 ONE FAMILY DWELLINGS,11426,875000,1,0,1,5000,1900,1950,2018,68
2018-08-23,4,Queens,BELLEROSE,01 ONE FAMILY DWELLINGS,11426,512000,1,0,1,2268,1592,1925,2018,93
2018-08-23,4,Queens,FLORAL PARK,01 ONE FAMILY DWELLINGS,11004,659673,1,0,1,4000,1652,1950,2018,68
2018-08-23,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11357,1178000,1,0,1,3800,1871,1950,2018,68
2018-08-23,4,Queens,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,11365,780000,1,0,1,1800,1633,1940,2018,78
2018-08-23,4,Queens,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS,11367,1050000,1,0,1,2525,1700,1950,2018,68
2018-08-23,4,Queens,FOREST HILLS,01 ONE FAMILY DWELLINGS,11375,1050000,1,0,1,3200,1727,1935,2018,83
2018-08-23,4,Queens,HOLLIS,01 ONE FAMILY DWELLINGS,11423,455000,1,0,1,2740,1320,1940,2018,78
2018-08-23,4,Queens,HOLLIS,01 ONE FAMILY DWELLINGS,11428,572000,1,0,1,2800,1476,1930,2018,88
2018-08-23,4,Queens,HOLLIS,01 ONE FAMILY DWELLINGS,11412,515000,1,0,1,3242,1899,1935,2018,83
2018-08-23,4,Queens,JAMAICA HILLS,01 ONE FAMILY DWELLINGS,11432,670000,1,0,1,2075,1280,1920,2018,98
2018-08-23,4,Queens,KEW GARDENS,01 ONE FAMILY DWELLINGS,11415,650000,1,0,1,2500,1312,1915,2018,103
2018-08-23,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,450000,1,0,1,6555,1822,1950,2018,68
2018-08-23,4,Queens,LAURELTON,01 ONE FAMILY DWELLINGS,11413,666141,1,0,1,4215,1438,1935,2018,83
2018-08-23,4,Queens,MASPETH,01 ONE FAMILY DWELLINGS,11377,748800,1,0,1,1764,1458,1945,2018,73
2018-08-23,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11428,593000,1,0,1,3100,1720,1930,2018,88
2018-08-23,4,Queens,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,11411,475566,1,0,1,2800,1248,1950,2018,68
2018-08-23,4,Queens,REGO PARK,01 ONE FAMILY DWELLINGS,11375,990000,1,0,1,2000,1980,1950,2018,68
2018-08-23,4,Queens,RICHMOND HILL,01 ONE FAMILY DWELLINGS,11419,595000,1,0,1,2000,1305,1940,2018,78
2018-08-23,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11436,470000,1,0,1,2600,1056,1960,2018,58
2018-08-23,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11434,420000,1,0,1,4000,3042,1999,2018,19
2018-08-23,4,Queens,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS,11434,543000,1,0,1,2714,1232,1986,2018,32
2018-08-23,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11429,385000,1,0,1,1800,1224,1945,2018,73
2018-08-23,4,Queens,ST. ALBANS,01 ONE FAMILY DWELLINGS,11434,340000,1,0,1,4000,1050,1950,2018,68
2018-08-23,4,Queens,SUNNYSIDE,01 ONE FAMILY DWELLINGS,11104,1050000,1,0,1,1742,1140,1941,2018,77
2018-08-22,2,Bronx,COUNTRY CLUB,01 ONE FAMILY DWELLINGS,10465,555000,1,0,1,2500,1785,1960,2018,58
2018-08-22,2,Bronx,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS,10467,545000,1,0,1,3333,1706,1915,2018,103
2018-08-22,3,Brooklyn,BROWNSVILLE,01 ONE FAMILY DWELLINGS,11212,420000,1,0,1,1440,1116,1986,2018,32
2018-08-22,3,Brooklyn,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,11228,815000,1,0,1,2150,1504,1920,2018,98
2018-08-22,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11210,1575000,1,0,1,4200,1933,1925,2018,93
2018-08-22,3,Brooklyn,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,11210,767500,1,0,1,2000,1274,1925,2018,93
2018-08-22,3,Brooklyn,MARINE PARK,01 ONE FAMILY DWELLINGS,11234,575000,1,0,1,1800,1128,1925,2018,93
2018-08-22,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11229,755000,1,0,1,2000,1752,1910,2018,108
2018-08-22,3,Brooklyn,MIDWOOD,01 ONE FAMILY DWELLINGS,11210,612500,1,0,1,2467,1302,1925,2018,93
2018-08-22,4,Queens,ASTORIA,01 ONE FAMILY DWELLINGS,11106,1265000,1,0,1,3007,1120,1901,2018,117
2018-08-22,4,Queens,ASTORIA,01 ONE FAMILY DWELLINGS,11103,900000,1,0,1,2000,1925,1945,2018,73
2018-08-22,4,Queens,ASTORIA,01 ONE FAMILY DWELLINGS,11105,300000,1,0,1,1938,1880,1965,2018,53
