gamename,date,year,month,avg,peak
7 Days to Die,2013-12-31,2013,12,1377.67,2722
7 Days to Die,2014-01-31,2014,1,1471.71,3010
7 Days to Die,2014-02-28,2014,2,1831.17,3970
7 Days to Die,2014-03-31,2014,3,2365.37,4710
7 Days to Die,2014-04-30,2014,4,1877.59,4299
7 Days to Die,2014-05-31,2014,5,1735.15,3301
7 Days to Die,2014-06-30,2014,6,2641.32,8342
7 Days to Die,2014-07-31,2014,7,2862.84,5192
7 Days to Die,2014-08-31,2014,8,3932.89,9935
7 Days to Die,2014-09-30,2014,9,4279.17,8638
7 Days to Die,2014-10-31,2014,10,3386.42,6817
7 Days to Die,2014-11-30,2014,11,3972.29,11321
7 Days to Die,2014-12-31,2014,12,6631.31,12596
7 Days to Die,2015-01-31,2015,1,6354.25,12839
7 Days to Die,2015-02-28,2015,2,4042.83,7931
7 Days to Die,2015-03-31,2015,3,3371.15,6373
7 Days to Die,2015-04-30,2015,4,6592.51,14763
7 Days to Die,2015-05-31,2015,5,4750.22,8201
7 Days to Die,2015-06-30,2015,6,4552.12,9270
7 Days to Die,2015-07-31,2015,7,6094.17,10653
7 Days to Die,2015-08-31,2015,8,4733.21,9257
7 Days to Die,2015-09-30,2015,9,3547.18,5649
7 Days to Die,2015-10-31,2015,10,3409.2,5625
7 Days to Die,2015-11-30,2015,11,3311.09,6510
7 Days to Die,2015-12-31,2015,12,6981.02,16399
7 Days to Die,2016-01-31,2016,1,7171.76,14620
7 Days to Die,2016-02-29,2016,2,4994.01,8460
7 Days to Die,2016-03-31,2016,3,4358.11,13227
7 Days to Die,2016-04-30,2016,4,7153.62,14539
7 Days to Die,2016-05-31,2016,5,5269.17,10577
7 Days to Die,2016-06-30,2016,6,5075.79,10487
7 Days to Die,2016-07-31,2016,7,7629.5,14629
7 Days to Die,2016-08-31,2016,8,6364.97,10351
7 Days to Die,2016-09-30,2016,9,6110.54,11250
7 Days to Die,2016-10-31,2016,10,11702.01,22955
7 Days to Die,2016-11-30,2016,11,12004.59,20597
7 Days to Die,2016-12-31,2016,12,12087.14,20330
7 Days to Die,2017-01-31,2017,1,12833.91,22977
7 Days to Die,2017-02-28,2017,2,9622.03,15902
7 Days to Die,2017-03-31,2017,3,11896.69,24739
7 Days to Die,2017-04-30,2017,4,8710.61,14524
7 Days to Die,2017-05-31,2017,5,7753.47,12504
7 Days to Die,2017-06-30,2017,6,10886.84,21867
7 Days to Die,2017-07-31,2017,7,16224.72,32518
7 Days to Die,2017-08-31,2017,8,12327.73,22898
7 Days to Die,2017-09-30,2017,9,9969.92,18265
7 Days to Die,2017-10-31,2017,10,9353.74,19601
7 Days to Die,2017-11-30,2017,11,11022.38,19815
7 Days to Die,2017-12-31,2017,12,10677.71,18520
7 Days to Die,2018-01-31,2018,1,11075.22,19408
7 Days to Die,2018-02-28,2018,2,9298.31,16430
7 Days to Die,2018-03-31,2018,3,8229.69,14139
7 Days to Die,2018-04-30,2018,4,7647.83,13373
7 Days to Die,2018-05-31,2018,5,6788.88,11592
7 Days to Die,2018-06-30,2018,6,6622.27,11482
7 Days to Die,2018-07-31,2018,7,7098.38,11791
7 Days to Die,2018-08-31,2018,8,6094.41,10347
7 Days to Die,2018-09-30,2018,9,5981.01,10157
7 Days to Die,2018-10-31,2018,10,6447.09,11389
7 Days to Die,2018-11-30,2018,11,10160.76,27328
7 Days to Die,2018-12-31,2018,12,13770.37,28105
7 Days to Die,2019-01-31,2019,1,13387.06,26707
7 Days to Die,2019-02-28,2019,2,9413.36,17889
7 Days to Die,2019-03-31,2019,3,8287.09,15385
7 Days to Die,2019-04-30,2019,4,7145.29,12890
7 Days to Die,2019-05-31,2019,5,7476.93,12812
7 Days to Die,2019-06-30,2019,6,8361.9,13753
7 Days to Die,2019-07-31,2019,7,9027.9,15198
7 Days to Die,2019-08-31,2019,8,7991.75,13113
7 Days to Die,2019-09-30,2019,9,6853.48,11571
7 Days to Die,2019-10-31,2019,10,13726.77,31500
7 Days to Die,2019-11-30,2019,11,19323.04,37024
7 Days to Die,2019-12-31,2019,12,16400.15,28088
7 Days to Die,2020-01-31,2020,1,16550.55,27981
7 Days to Die,2020-02-29,2020,2,16952.06,28339
7 Days to Die,2020-03-31,2020,3,18107.24,35936
7 Days to Die,2020-04-30,2020,4,18270.02,29749
7 Days to Die,2020-05-31,2020,5,16813.99,26351
7 Days to Die,2020-06-30,2020,6,13120.49,28205
7 Days to Die,2020-07-31,2020,7,24237.9,38944
7 Days to Die,2020-08-31,2020,8,20728.01,35748
7 Days to Die,2020-09-30,2020,9,21014.22,33803
7 Days to Die,2020-10-31,2020,10,17916.32,33560
7 Days to Die,2020-11-30,2020,11,23321.81,37599
7 Days to Die,2020-12-31,2020,12,21441.63,35208
7 Days to Die,2021-01-31,2021,1,25366.69,39581
7 Days to Die,2021-02-28,2021,2,20527.75,31843
ARK: Survival Evolved,2015-05-31,2015,5,5.28,28
ARK: Survival Evolved,2015-06-30,2015,6,42871.49,80162
ARK: Survival Evolved,2015-07-31,2015,7,46764.79,74888
ARK: Survival Evolved,2015-08-31,2015,8,45057.02,84838
ARK: Survival Evolved,2015-09-30,2015,9,35498.3,60299
ARK: Survival Evolved,2015-10-31,2015,10,38020.88,64516
ARK: Survival Evolved,2015-11-30,2015,11,32862.44,59880
ARK: Survival Evolved,2015-12-31,2015,12,32092.93,55946
ARK: Survival Evolved,2016-01-31,2016,1,39054.41,67018
ARK: Survival Evolved,2016-02-29,2016,2,37747.59,65577
ARK: Survival Evolved,2016-03-31,2016,3,35664.04,63069
ARK: Survival Evolved,2016-04-30,2016,4,35385.63,63900
ARK: Survival Evolved,2016-05-31,2016,5,39182.24,78089
ARK: Survival Evolved,2016-06-30,2016,6,42386.9,71194
ARK: Survival Evolved,2016-07-31,2016,7,39067.7,69764
ARK: Survival Evolved,2016-08-31,2016,8,35210.62,60039
ARK: Survival Evolved,2016-09-30,2016,9,37334.83,67157
ARK: Survival Evolved,2016-10-31,2016,10,32923.02,59524
ARK: Survival Evolved,2016-11-30,2016,11,31316.81,54698
ARK: Survival Evolved,2016-12-31,2016,12,36022.81,67651
ARK: Survival Evolved,2017-01-31,2017,1,46440.81,76879
ARK: Survival Evolved,2017-02-28,2017,2,53134.72,100723
ARK: Survival Evolved,2017-03-31,2017,3,41052.97,75022
ARK: Survival Evolved,2017-04-30,2017,4,42206.47,73857
ARK: Survival Evolved,2017-05-31,2017,5,37352.26,66342
ARK: Survival Evolved,2017-06-30,2017,6,47080.74,76482
ARK: Survival Evolved,2017-07-31,2017,7,41812.09,72455
ARK: Survival Evolved,2017-08-31,2017,8,34847.2,57421
ARK: Survival Evolved,2017-09-30,2017,9,43690.15,78303
ARK: Survival Evolved,2017-10-31,2017,10,37636.82,68570
ARK: Survival Evolved,2017-11-30,2017,11,34137.79,63378
ARK: Survival Evolved,2017-12-31,2017,12,46473.28,85894
ARK: Survival Evolved,2018-01-31,2018,1,49018.06,86640
ARK: Survival Evolved,2018-02-28,2018,2,41955.97,71259
ARK: Survival Evolved,2018-03-31,2018,3,38309.15,64647
ARK: Survival Evolved,2018-04-30,2018,4,34418.28,58344
ARK: Survival Evolved,2018-05-31,2018,5,31404.34,50021
ARK: Survival Evolved,2018-06-30,2018,6,41794.49,79451
ARK: Survival Evolved,2018-07-31,2018,7,45060.2,70823
ARK: Survival Evolved,2018-08-31,2018,8,32497.43,50789
ARK: Survival Evolved,2018-09-30,2018,9,28288.19,49072
ARK: Survival Evolved,2018-10-31,2018,10,29337.62,49049
ARK: Survival Evolved,2018-11-30,2018,11,51906.05,106170
ARK: Survival Evolved,2018-12-31,2018,12,42992.14,76351
ARK: Survival Evolved,2019-01-31,2019,1,36177.7,58388
ARK: Survival Evolved,2019-02-28,2019,2,32446.72,52697
ARK: Survival Evolved,2019-03-31,2019,3,33546.95,56169
ARK: Survival Evolved,2019-04-30,2019,4,32627.89,54895
ARK: Survival Evolved,2019-05-31,2019,5,33224.1,55915
ARK: Survival Evolved,2019-06-30,2019,6,43532.02,83446
ARK: Survival Evolved,2019-07-31,2019,7,47442.55,75524
ARK: Survival Evolved,2019-08-31,2019,8,43146.76,70047
ARK: Survival Evolved,2019-09-30,2019,9,34210.82,56829
ARK: Survival Evolved,2019-10-31,2019,10,31256.23,54069
ARK: Survival Evolved,2019-11-30,2019,11,36183.73,62857
ARK: Survival Evolved,2019-12-31,2019,12,40473.32,66043
ARK: Survival Evolved,2020-01-31,2020,1,45655.85,74200
ARK: Survival Evolved,2020-02-29,2020,2,53394.18,138648
ARK: Survival Evolved,2020-03-31,2020,3,87738.7,157355
ARK: Survival Evolved,2020-04-30,2020,4,82091.26,125636
ARK: Survival Evolved,2020-05-31,2020,5,60918.07,101631
ARK: Survival Evolved,2020-06-30,2020,6,59435.7,97813
ARK: Survival Evolved,2020-07-31,2020,7,57163.99,90664
ARK: Survival Evolved,2020-08-31,2020,8,47770.61,75208
ARK: Survival Evolved,2020-09-30,2020,9,45240.48,73081
ARK: Survival Evolved,2020-10-31,2020,10,41760,71828
ARK: Survival Evolved,2020-11-30,2020,11,56425.6,98433
ARK: Survival Evolved,2020-12-31,2020,12,56324.05,86471
ARK: Survival Evolved,2021-01-31,2021,1,63160.05,92006
ARK: Survival Evolved,2021-02-28,2021,2,61785.58,98637
ATLAS,2018-12-31,2018,12,39315.58,58788
ATLAS,2019-01-31,2019,1,26641.75,55297
ATLAS,2019-02-28,2019,2,11385.08,25026
ATLAS,2019-03-31,2019,3,3029.51,9331
ATLAS,2019-04-30,2019,4,5736.33,12298
ATLAS,2019-05-31,2019,5,5206.83,10040
ATLAS,2019-06-30,2019,6,3565.52,7276
ATLAS,2019-07-31,2019,7,2816.61,5293
ATLAS,2019-08-31,2019,8,2313.89,5221
ATLAS,2019-09-30,2019,9,1445.49,2942
ATLAS,2019-10-31,2019,10,3220.68,6287
ATLAS,2019-11-30,2019,11,4134.43,8163
ATLAS,2019-12-31,2019,12,5531.33,11649
ATLAS,2020-01-31,2020,1,5615.2,11844
ATLAS,2020-02-29,2020,2,3850.07,7256
ATLAS,2020-03-31,2020,3,2567.18,4542
ATLAS,2020-04-30,2020,4,2127.25,3580
ATLAS,2020-05-31,2020,5,1855.06,3074
ATLAS,2020-06-30,2020,6,1401.14,2666
ATLAS,2020-07-31,2020,7,3917.41,7262
ATLAS,2020-08-31,2020,8,2731.24,5287
ATLAS,2020-09-30,2020,9,1812.07,3235
ATLAS,2020-10-31,2020,10,1495.76,2601
ATLAS,2020-11-30,2020,11,2165.22,4379
ATLAS,2020-12-31,2020,12,2389.86,4521
ATLAS,2021-01-31,2021,1,2894.59,5266
ATLAS,2021-02-28,2021,2,2188.33,4202
Apex Legends,2020-11-30,2020,11,74957.26,117193
Apex Legends,2020-12-31,2020,12,64469.75,112076
Apex Legends,2021-01-31,2021,1,71766.74,129928
Apex Legends,2021-02-28,2021,2,120982.64,196799
Arma 3,2013-03-31,2013,3,4745.97,13225
Arma 3,2013-04-30,2013,4,2035.86,4536
Arma 3,2013-05-31,2013,5,1735.06,3496
Arma 3,2013-06-30,2013,6,3072.94,12108
Arma 3,2013-07-31,2013,7,3029.51,7311
Arma 3,2013-08-31,2013,8,3296.68,6657
Arma 3,2013-09-30,2013,9,5617.36,16612
Arma 3,2013-10-31,2013,10,4077.82,8435
Arma 3,2013-11-30,2013,11,4082.34,9270
Arma 3,2013-12-31,2013,12,4236.78,9373
Arma 3,2014-01-31,2014,1,6235.41,14464
Arma 3,2014-02-28,2014,2,8510.84,22331
Arma 3,2014-03-31,2014,3,10957.15,24278
Arma 3,2014-04-30,2014,4,12799.79,26302
Arma 3,2014-05-31,2014,5,15018.79,46089
Arma 3,2014-06-30,2014,6,12954.47,27777
Arma 3,2014-07-31,2014,7,13880.36,26977
Arma 3,2014-08-31,2014,8,13716.06,25334
Arma 3,2014-09-30,2014,9,12314.47,24971
Arma 3,2014-10-31,2014,10,14953.38,48521
Arma 3,2014-11-30,2014,11,14851.33,34213
Arma 3,2014-12-31,2014,12,16063.91,36250
Arma 3,2015-01-31,2015,1,20312.78,44621
Arma 3,2015-02-28,2015,2,18204.75,37577
Arma 3,2015-03-31,2015,3,18379.59,44092
Arma 3,2015-04-30,2015,4,18515.7,44017
Arma 3,2015-05-31,2015,5,18296.94,47553
Arma 3,2015-06-30,2015,6,15747.85,31440
Arma 3,2015-07-31,2015,7,16640.41,29783
Arma 3,2015-08-31,2015,8,17880.84,33455
Arma 3,2015-09-30,2015,9,16961.56,33954
Arma 3,2015-10-31,2015,10,18194.68,35323
Arma 3,2015-11-30,2015,11,15455.16,34353
Arma 3,2015-12-31,2015,12,18762.1,38659
Arma 3,2016-01-31,2016,1,22559.44,43922
Arma 3,2016-02-29,2016,2,22624.93,48734
Arma 3,2016-03-31,2016,3,21733.23,45506
Arma 3,2016-04-30,2016,4,20292.43,41127
Arma 3,2016-05-31,2016,5,22853.94,56185
Arma 3,2016-06-30,2016,6,25285.16,46030
Arma 3,2016-07-31,2016,7,26615.05,46635
Arma 3,2016-08-31,2016,8,23049.68,41000
Arma 3,2016-09-30,2016,9,20145.21,40858
Arma 3,2016-10-31,2016,10,20388.75,41168
Arma 3,2016-11-30,2016,11,19925.98,43745
Arma 3,2016-12-31,2016,12,22325.52,47649
Arma 3,2017-01-31,2017,1,26972.14,53102
Arma 3,2017-02-28,2017,2,23539.08,45279
Arma 3,2017-03-31,2017,3,22288.46,46509
Arma 3,2017-04-30,2017,4,23377.49,49352
Arma 3,2017-05-31,2017,5,20712.67,42285
Arma 3,2017-06-30,2017,6,22154.2,46003
Arma 3,2017-07-31,2017,7,22120.46,43759
Arma 3,2017-08-31,2017,8,17978.11,32339
Arma 3,2017-09-30,2017,9,17987.81,36019
Arma 3,2017-10-31,2017,10,16441.33,32097
Arma 3,2017-11-30,2017,11,16523.87,36994
Arma 3,2017-12-31,2017,12,19255.64,38629
Arma 3,2018-01-31,2018,1,18554.58,37049
Arma 3,2018-02-28,2018,2,17231.97,33206
Arma 3,2018-03-31,2018,3,16973.89,33378
Arma 3,2018-04-30,2018,4,17805.57,44337
Arma 3,2018-05-31,2018,5,17053.25,34393
Arma 3,2018-06-30,2018,6,16570.32,31609
Arma 3,2018-07-31,2018,7,18384.53,31989
Arma 3,2018-08-31,2018,8,15122.97,27029
Arma 3,2018-09-30,2018,9,14092.26,29690
Arma 3,2018-10-31,2018,10,13344.9,26432
Arma 3,2018-11-30,2018,11,12553.3,26667
Arma 3,2018-12-31,2018,12,13554.29,26948
Arma 3,2019-01-31,2019,1,15240.37,29454
Arma 3,2019-02-28,2019,2,15489.4,32582
Arma 3,2019-03-31,2019,3,14236.16,28270
Arma 3,2019-04-30,2019,4,13709.37,27708
Arma 3,2019-05-31,2019,5,14208.4,28985
Arma 3,2019-06-30,2019,6,14224.79,26030
Arma 3,2019-07-31,2019,7,15265.03,27462
Arma 3,2019-08-31,2019,8,13453.36,25846
Arma 3,2019-09-30,2019,9,11868.67,24676
Arma 3,2019-10-31,2019,10,11322.27,23954
Arma 3,2019-11-30,2019,11,10560.82,22119
Arma 3,2019-12-31,2019,12,11582.87,22863
Arma 3,2020-01-31,2020,1,14703.42,31684
Arma 3,2020-02-29,2020,2,13315.19,26403
Arma 3,2020-03-31,2020,3,15215.53,36117
Arma 3,2020-04-30,2020,4,20266.15,40307
Arma 3,2020-05-31,2020,5,15997.56,34175
Arma 3,2020-06-30,2020,6,13115.92,25514
Arma 3,2020-07-31,2020,7,13064.12,23272
Arma 3,2020-08-31,2020,8,13028.78,22575
Arma 3,2020-09-30,2020,9,12704.13,26059
Arma 3,2020-10-31,2020,10,13527.22,27524
Arma 3,2020-11-30,2020,11,13865.44,27725
Arma 3,2020-12-31,2020,12,13000.72,26626
Arma 3,2021-01-31,2021,1,14895.53,29006
Arma 3,2021-02-28,2021,2,14936.52,31637
Assassin's Creed Odyssey,2018-10-31,2018,10,29188.68,61984
Assassin's Creed Odyssey,2018-11-30,2018,11,12032.25,27489
Assassin's Creed Odyssey,2018-12-31,2018,12,13520.97,32071
Assassin's Creed Odyssey,2019-01-31,2019,1,14243.12,31704
Assassin's Creed Odyssey,2019-02-28,2019,2,10210.86,23239
Assassin's Creed Odyssey,2019-03-31,2019,3,9616.46,20051
Assassin's Creed Odyssey,2019-04-30,2019,4,8497.07,16833
Assassin's Creed Odyssey,2019-05-31,2019,5,6503.73,13596
Assassin's Creed Odyssey,2019-06-30,2019,6,6755.88,15512
Assassin's Creed Odyssey,2019-07-31,2019,7,9282.55,17711
Assassin's Creed Odyssey,2019-08-31,2019,8,7765.2,15063
Assassin's Creed Odyssey,2019-09-30,2019,9,6980.53,16059
Assassin's Creed Odyssey,2019-10-31,2019,10,5122.69,12457
Assassin's Creed Odyssey,2019-11-30,2019,11,4709.9,9776
Assassin's Creed Odyssey,2019-12-31,2019,12,6473.91,15118
Assassin's Creed Odyssey,2020-01-31,2020,1,9237.46,18738
Assassin's Creed Odyssey,2020-02-29,2020,2,7679.66,17476
Assassin's Creed Odyssey,2020-03-31,2020,3,11639.96,37085
Assassin's Creed Odyssey,2020-04-30,2020,4,10254.29,25996
Assassin's Creed Odyssey,2020-05-31,2020,5,13434.64,29733
Assassin's Creed Odyssey,2020-06-30,2020,6,6383.01,14210
Assassin's Creed Odyssey,2020-07-31,2020,7,11185.45,20331
Assassin's Creed Odyssey,2020-08-31,2020,8,7288.76,16458
Assassin's Creed Odyssey,2020-09-30,2020,9,4643.54,8790
Assassin's Creed Odyssey,2020-10-31,2020,10,7727.12,20487
Assassin's Creed Odyssey,2020-11-30,2020,11,8160.51,17882
Assassin's Creed Odyssey,2020-12-31,2020,12,7809.49,16749
Assassin's Creed Odyssey,2021-01-31,2021,1,7677.35,14723
Assassin's Creed Odyssey,2021-02-28,2021,2,6594.45,12157
BATTLETECH,2018-01-31,2018,1,0.93,9
BATTLETECH,2018-02-28,2018,2,5.4,18
BATTLETECH,2018-03-31,2018,3,11.69,39
BATTLETECH,2018-04-30,2018,4,22782.6,35586
BATTLETECH,2018-05-31,2018,5,10974.17,26936
BATTLETECH,2018-06-30,2018,6,4162.98,9268
BATTLETECH,2018-07-31,2018,7,2771.12,6150
BATTLETECH,2018-08-31,2018,8,1946.93,3979
BATTLETECH,2018-09-30,2018,9,2016.2,4064
BATTLETECH,2018-10-31,2018,10,1404.66,2609
BATTLETECH,2018-11-30,2018,11,1449.49,4730
BATTLETECH,2018-12-31,2018,12,3105.18,6454
BATTLETECH,2019-01-31,2019,1,2434.37,4999
BATTLETECH,2019-02-28,2019,2,2320.21,6354
BATTLETECH,2019-03-31,2019,3,1999.3,4181
BATTLETECH,2019-04-30,2019,4,1599.04,2957
BATTLETECH,2019-05-31,2019,5,1503.51,2803
BATTLETECH,2019-06-30,2019,6,2714.79,5347
BATTLETECH,2019-07-31,2019,7,2514.11,4610
BATTLETECH,2019-08-31,2019,8,1821.31,3469
BATTLETECH,2019-09-30,2019,9,1893.17,3930
BATTLETECH,2019-10-31,2019,10,2119.79,4612
BATTLETECH,2019-11-30,2019,11,3065.56,9415
BATTLETECH,2019-12-31,2019,12,4316.69,9215
BATTLETECH,2020-01-31,2020,1,3161.23,6404
BATTLETECH,2020-02-29,2020,2,2412.9,4997
BATTLETECH,2020-03-31,2020,3,2327.26,4285
BATTLETECH,2020-04-30,2020,4,2393.02,3732
BATTLETECH,2020-05-31,2020,5,2891.62,5799
BATTLETECH,2020-06-30,2020,6,2334.64,3911
BATTLETECH,2020-07-31,2020,7,2300.12,3968
BATTLETECH,2020-08-31,2020,8,1942.8,3315
BATTLETECH,2020-09-30,2020,9,2064.64,3665
BATTLETECH,2020-10-31,2020,10,2020.84,3406
BATTLETECH,2020-11-30,2020,11,2331.81,3745
BATTLETECH,2020-12-31,2020,12,2092.41,3641
BATTLETECH,2021-01-31,2021,1,2189.5,3688
BATTLETECH,2021-02-28,2021,2,1927.71,3141
BioShock Infinite,2013-03-31,2013,3,30090.35,65198
BioShock Infinite,2013-04-30,2013,4,7132.51,27908
BioShock Infinite,2013-05-31,2013,5,2243.04,5163
BioShock Infinite,2013-06-30,2013,6,1426.86,3293
BioShock Infinite,2013-07-31,2013,7,2559.5,9773
BioShock Infinite,2013-08-31,2013,8,1554.25,3661
BioShock Infinite,2013-09-30,2013,9,1237.79,2622
BioShock Infinite,2013-10-31,2013,10,1771.08,8689
BioShock Infinite,2013-11-30,2013,11,1717.57,9112
BioShock Infinite,2013-12-31,2013,12,3420.59,10749
BioShock Infinite,2014-01-31,2014,1,2573.11,7924
BioShock Infinite,2014-02-28,2014,2,1381.69,3188
BioShock Infinite,2014-03-31,2014,3,2653.51,11172
BioShock Infinite,2014-04-30,2014,4,1894.88,4831
BioShock Infinite,2014-05-31,2014,5,1679.17,5553
BioShock Infinite,2014-06-30,2014,6,1629.68,4901
BioShock Infinite,2014-07-31,2014,7,1676.66,3979
BioShock Infinite,2014-08-31,2014,8,1574.33,5394
BioShock Infinite,2014-09-30,2014,9,1156.25,2798
BioShock Infinite,2014-10-31,2014,10,912.58,3017
BioShock Infinite,2014-11-30,2014,11,1286.79,3529
BioShock Infinite,2014-12-31,2014,12,1399.28,3441
BioShock Infinite,2015-01-31,2015,1,1295.53,3498
BioShock Infinite,2015-02-28,2015,2,910.24,1831
BioShock Infinite,2015-03-31,2015,3,1310.41,4801
BioShock Infinite,2015-04-30,2015,4,972.97,2185
BioShock Infinite,2015-05-31,2015,5,757.51,1452
BioShock Infinite,2015-06-30,2015,6,1192.1,2950
BioShock Infinite,2015-07-31,2015,7,934.23,1896
BioShock Infinite,2015-08-31,2015,8,1168.09,3236
BioShock Infinite,2015-09-30,2015,9,992.45,2354
BioShock Infinite,2015-10-31,2015,10,840.92,2174
BioShock Infinite,2015-11-30,2015,11,1038.91,2648
BioShock Infinite,2015-12-31,2015,12,1096.7,2423
BioShock Infinite,2016-01-31,2016,1,1111.2,3228
BioShock Infinite,2016-02-29,2016,2,1157.82,2512
BioShock Infinite,2016-03-31,2016,3,753.61,1486
BioShock Infinite,2016-04-30,2016,4,649.16,1263
BioShock Infinite,2016-05-31,2016,5,642.59,1275
BioShock Infinite,2016-06-30,2016,6,848.96,2370
BioShock Infinite,2016-07-31,2016,7,1323.72,3640
BioShock Infinite,2016-08-31,2016,8,752.57,1309
BioShock Infinite,2016-09-30,2016,9,1029.76,3374
BioShock Infinite,2016-10-31,2016,10,762.56,1858
BioShock Infinite,2016-11-30,2016,11,645.95,1375
BioShock Infinite,2016-12-31,2016,12,619.57,1224
BioShock Infinite,2017-01-31,2017,1,638.05,1332
BioShock Infinite,2017-02-28,2017,2,566.91,1031
BioShock Infinite,2017-03-31,2017,3,806.17,2746
BioShock Infinite,2017-04-30,2017,4,607.24,1210
BioShock Infinite,2017-05-31,2017,5,549,1005
BioShock Infinite,2017-06-30,2017,6,691.37,1763
BioShock Infinite,2017-07-31,2017,7,896.4,1999
BioShock Infinite,2017-08-31,2017,8,748.46,1878
BioShock Infinite,2017-09-30,2017,9,611.6,1234
BioShock Infinite,2017-10-31,2017,10,527.53,1291
BioShock Infinite,2017-11-30,2017,11,785.44,1982
BioShock Infinite,2017-12-31,2017,12,620.75,1154
BioShock Infinite,2018-01-31,2018,1,721.03,1411
BioShock Infinite,2018-02-28,2018,2,606.53,1201
BioShock Infinite,2018-03-31,2018,3,914.11,2169
BioShock Infinite,2018-04-30,2018,4,692.54,1782
BioShock Infinite,2018-05-31,2018,5,532.01,932
BioShock Infinite,2018-06-30,2018,6,601.56,1275
BioShock Infinite,2018-07-31,2018,7,669.32,1298
BioShock Infinite,2018-08-31,2018,8,646.79,1654
BioShock Infinite,2018-09-30,2018,9,518.73,1197
BioShock Infinite,2018-10-31,2018,10,417.19,817
BioShock Infinite,2018-11-30,2018,11,574.18,1063
BioShock Infinite,2018-12-31,2018,12,542.03,1078
BioShock Infinite,2019-01-31,2019,1,569.44,1254
BioShock Infinite,2019-02-28,2019,2,707.02,1723
BioShock Infinite,2019-03-31,2019,3,592.2,1231
BioShock Infinite,2019-04-30,2019,4,430.28,845
BioShock Infinite,2019-05-31,2019,5,496.93,1255
BioShock Infinite,2019-06-30,2019,6,662.64,1314
BioShock Infinite,2019-07-31,2019,7,604.62,1178
BioShock Infinite,2019-08-31,2019,8,414.45,719
BioShock Infinite,2019-09-30,2019,9,513.98,1029
BioShock Infinite,2019-10-31,2019,10,401.51,955
BioShock Infinite,2019-11-30,2019,11,583.34,1107
BioShock Infinite,2019-12-31,2019,12,605.84,1054
BioShock Infinite,2020-01-31,2020,1,580.31,1042
BioShock Infinite,2020-02-29,2020,2,647.65,1260
BioShock Infinite,2020-03-31,2020,3,906.01,1974
BioShock Infinite,2020-04-30,2020,4,743.07,1260
BioShock Infinite,2020-05-31,2020,5,585.39,1051
BioShock Infinite,2020-06-30,2020,6,602.47,1470
BioShock Infinite,2020-07-31,2020,7,947.73,1473
BioShock Infinite,2020-08-31,2020,8,698.5,1433
BioShock Infinite,2020-09-30,2020,9,575.45,1064
BioShock Infinite,2020-10-31,2020,10,629.88,1222
BioShock Infinite,2020-11-30,2020,11,540.34,1067
BioShock Infinite,2020-12-31,2020,12,556.73,968
BioShock Infinite,2021-01-31,2021,1,565.13,997
BioShock Infinite,2021-02-28,2021,2,770,1394
Black Desert Online,2017-05-31,2017,5,2608.49,18894
Black Desert Online,2017-06-30,2017,6,16513.13,26474
Black Desert Online,2017-07-31,2017,7,19705.27,28105
Black Desert Online,2017-08-31,2017,8,14033.99,18372
Black Desert Online,2017-09-30,2017,9,12055.83,15704
Black Desert Online,2017-10-31,2017,10,12642.57,17399
Black Desert Online,2017-11-30,2017,11,10103.36,14936
Black Desert Online,2017-12-31,2017,12,12019.62,16615
Black Desert Online,2018-01-31,2018,1,15559.89,26187
Black Desert Online,2018-02-28,2018,2,16063.77,22396
Black Desert Online,2018-03-31,2018,3,14971.9,20136
Black Desert Online,2018-04-30,2018,4,14362.13,19144
Black Desert Online,2018-05-31,2018,5,13966.31,18850
Black Desert Online,2018-06-30,2018,6,14892.73,19395
Black Desert Online,2018-07-31,2018,7,14164.37,18427
Black Desert Online,2018-08-31,2018,8,10879.53,15640
Black Desert Online,2018-09-30,2018,9,12047.2,17401
Black Desert Online,2018-10-31,2018,10,9852.53,13437
Black Desert Online,2018-11-30,2018,11,10692.41,14965
Black Desert Online,2018-12-31,2018,12,10753.9,15621
Black Desert Online,2019-01-31,2019,1,13663.56,17839
Black Desert Online,2019-02-28,2019,2,11840.04,16077
Black Desert Online,2019-03-31,2019,3,13893.85,18176
Black Desert Online,2019-04-30,2019,4,12089.84,16260
Black Desert Online,2019-05-31,2019,5,14931.93,59917
Black Desert Online,2019-06-30,2019,6,11172.32,14938
Black Desert Online,2019-07-31,2019,7,11777.58,15557
Black Desert Online,2019-08-31,2019,8,13413.64,17810
Black Desert Online,2019-09-30,2019,9,11172,14532
Black Desert Online,2019-10-31,2019,10,10326.61,13906
Black Desert Online,2019-11-30,2019,11,10272.36,13514
Black Desert Online,2019-12-31,2019,12,10842.09,17228
Black Desert Online,2020-01-31,2020,1,14250.47,21532
Black Desert Online,2020-02-29,2020,2,15032.84,34298
Black Desert Online,2020-03-31,2020,3,24060.37,37034
Black Desert Online,2020-04-30,2020,4,23192.8,30086
Black Desert Online,2020-05-31,2020,5,19943.3,25391
Black Desert Online,2020-06-30,2020,6,18250.08,24463
Black Desert Online,2020-07-31,2020,7,15378.3,19471
Black Desert Online,2020-08-31,2020,8,14501.52,18551
Black Desert Online,2020-09-30,2020,9,16738.5,22953
Black Desert Online,2020-10-31,2020,10,14747.58,19307
Black Desert Online,2020-11-30,2020,11,13822.52,19142
Black Desert Online,2020-12-31,2020,12,14150.67,22203
